,human_nums,normal_zombie_nums,elite_zombie_nums,winning_probability,death_mean,adrenaline_mean,round_mean,experiment_times
258,4,2,4,85.24000000000002,1.7249,1.9862,4.1969,10000
259,4,2,5,78.06,2.056,2.2576,4.977,10000
260,4,3,0,100.0,0.0,1.2312,1.8589,10000
261,4,3,1,99.74,0.4139,1.5442,2.4717,10000
262,4,3,2,96.14,0.9582,1.8219,3.2187,10000
263,4,3,3,88.35,1.5111,2.0427,4.0482,10000
264,4,3,4,78.86,1.9992,2.1751,4.8996,10000
265,4,3,5,71.73,2.2895,2.3961,5.6629999999999985,10000
266,4,4,0,100.0,0.0,1.5918,2.3846,10000
267,4,4,1,99.37,0.5037,1.8838,3.0376,10000
268,4,4,2,93.06,1.1525,2.0896,3.8664,10000
269,4,4,3,83.48,1.7691,2.2975,4.8087,10000
270,4,4,4,72.72,2.2706,2.4445,5.6654,10000
271,4,4,5,66.31,2.5033,2.6122,6.3521,10000
272,4,5,0,100.0,0.0,1.932,2.8804,10000
273,4,5,1,98.99,0.599,2.1682,3.6091,10000
274,4,5,2,90.49,1.3316,2.3969,4.5426,10000
275,4,5,3,77.96,2.0366,2.5568,5.5639,10000
276,4,5,4,65.78,2.5146,2.6472,6.3719,10000
277,4,5,5,59.91,2.7048,2.8435,6.9692,10000
278,4,6,0,100.0,0.0,2.2214,3.3608,10000
279,4,6,1,98.35,0.6859,2.485,4.1973,10000
280,4,6,2,87.19,1.5282,2.6743,5.2271,10000
281,4,6,3,71.16,2.2826,2.7717,6.237,10000
282,4,6,4,60.1,2.6972,2.8294,7.0310000000000015,10000
283,4,6,5,52.68000000000001,2.9056,2.9876,7.6142,10000
284,4,7,0,100.0,0.0,2.5782,3.8638,10000
285,4,7,1,97.48,0.7887,2.8475,4.8447,10000
286,4,7,2,81.78,1.7536,2.924,5.9048,10000
287,4,7,3,66.69,2.4437,2.9444,6.9036,10000
288,4,7,4,52.24,2.9174,2.9545,7.6306,10000
289,4,7,5,46.81,3.055,3.1498,8.1495,10000
290,4,8,0,100.0,0.0,2.9412,4.3772,10000
291,4,8,1,96.29,0.9197,3.1571,5.4866,10000
292,4,8,2,77.79,1.9452,3.1816,6.6295,10000
293,4,8,3,58.66,2.6848,3.1397,7.5139999999999985,10000
294,4,8,4,47.07,3.0595,3.1531,8.224,10000
295,4,8,5,40.58,3.2143,3.2951,8.7138,10000
296,4,9,0,100.0,0.0,3.2627,4.8904,10000
297,4,9,1,94.51,1.0387,3.4541,6.15,10000
